unidad_numero,posicion,fuego
336,ddd,11988
336,tie,10894
336,tii,10885
336,tdi,10884
336,tde,10883
336,ra,6737
337,ddi,11915
337,ddd,11914
337,tie,10844
337,tii,10842
337,tdi,11781
337,tde,11782
337,ra,7979
338,ddi,12577
338,ddd,12576
338,tie,11123
338,tii,11122
338,tdi,11121
338,tde,11120
339,ddi,12872
339,ddd,12985
339,tie,11919
339,tii,11918
339,tdi,11917
339,tde,11916
340,ddi,12575
340,ddd,12574
340,tie,12864
340,tii,12865
340,tdi,11473
340,tde,11472
340,ra,7805
332,ddi,8073
332,ddd,8074
332,tie,8036
332,tii,8035
332,tdi,8123
332,tde,8122
333,ddi,8137
333,ddd,8136
333,tie,8138
333,tii,8139
333,tdi,8140
333,tde,8141
437,ddi,s/n
437,ddd,s/n
437,tie,s/n
437,tde,s/n
436,ddi,S/N
436,ddd,S/N
436,tie,S/N
436,tde,S/N
63,ddi,12444
63,ddd,12443
63,cie,11257
63,cii,11258
63,cdi,11259
63,cde,11260
63,tie,12403
63,tde,12404
63,ra,7691
64,ddi,12402
64,ddd,12401
64,cie,12768
64,cii,12769
64,cdi,12770
64,cde,12771
64,tie,12812
64,tde,12811
64,ra,10416
65,ddi,12156
65,ddd,12157
65,cie,12799
65,cii,12798
65,cdi,12797
65,cde,12796
65,tie,12813
65,tde,12810
66,ddi,13013
66,ddd,13016
66,cie,11164
66,cii,11163
66,cdi,11165
66,cde,11166
66,tie,12453
66,tde,12452
66,ra,9138
341,ddi,12446
341,ddd,12445
341,tie,12269
341,tii,12268
341,tdi,12267
341,tde,12266
67,ddi,13009
67,ddd,13010
67,cie,10762
67,cii,10754
67,cdi,10996
67,cde,9769
67,tie,12455
67,tde,12454
67,ra,9261
68,ddi,13008
68,ddd,13007
68,cie,12343
68,cii,12344
68,cdi,12345
68,cde,12346
68,tie,12313
68,tde,11646
68,ra,11364
345,ddi,11993
345,ddd,11992
345,tie,11407
345,tii,11406
345,tdi,11405
345,tde,11404
342,ddi,12275
342,ddd,12274
342,tie,12249
342,tii,12248
342,tdi,12247
342,tde,12246
342,ra,8755
344,ddi,13255
344,ddd,13254
344,tie,10813
344,tii,10814
344,tdi,12024
344,tde,10816
347,ddi,12489
347,ddd,12493
347,tie,9872
347,tii,8460
347,tdi,10709
347,tde,9895
347,ra,10596
440,ddi,s/n
440,ddd,S/N
440,tie,s/n
440,tde,s/n
440,ra,s/n
2041,ddi,11891
2041,ddd,11890
2041,tie,11637
2041,tii,11636
2041,tdi,11635
